Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id
2024-25,Alabama State,SWAC,SR,G,35,35,29.4,5.1,12.3,0.418,2.0,5.4,0.378,3.1,6.9,0.449,0.5,1.8,2.5,0.719,0.8,2.2,3.0,2.4,1.1,0.1,1.3,2.4,14.1,Unknown,SWAC,SR,G,35,35,1029,16.8,0.523,0.436,0.206,468,2.8,8.4,5.4,17.7,2.1,0.5,8.9,24.9,1.9,1.2,3.0,0.117,0.7,-1.5,-0.8,Unknown,cj-hines-1
2024-25,California,ACC,FR,F,27,0,6.3,0.5,1.7,0.283,0.3,1.1,0.3,0.1,0.6,0.25,0.38,0.2,0.3,0.556,0.3,0.7,1.0,0.2,0.0,0.0,0.1,0.7,1.5,Unknown,ACC,FR,F,27,0,169,5.8,0.398,0.652,0.196,41,5.7,13.0,9.1,5.5,0.3,0.6,7.4,15.9,0.0,0.1,0.1,0.026,-2.8,-1.4,-4.2,Unknown,spencer-mahoney-1
2022-23,Arkansas,SEC,FR,G,21.0,0.0,3.8,0.2,0.5,0.4,0.0,0.0,0.0,0.2,0.4,0.444,0.4,0.3,0.4,0.875,0.1,0.4,0.5,0.4,0.0,0.0,0.2,0.3,0.7,Unknown,SEC,FR,G,21.0,0.0,80.0,9.2,0.543,0.1,0.8,18.0,3.0,11.6,7.3,16.3,0.7,0.0,22.5,11.1,0.1,0.1,0.2,0.093,-0.8,1.7,0.9,Unknown,derrian-ford-1
2023-24,Arkansas State,Sun Belt,SO,G,36.0,31.0,29.3,3.6,8.7,0.411,1.8,4.7,0.376,1.8,4.0,0.451,0.513,1.5,2.0,0.746,1.5,2.8,4.4,1.5,0.6,0.0,1.0,1.4,10.4,Unknown,Sun Belt,SO,G,36.0,31.0,1054.0,13.7,0.539,0.541,0.226,359.0,5.5,11.0,8.1,8.9,1.1,0.1,9.6,17.6,2.0,0.4,2.4,0.092,1.6,-1.7,-0.1,Unknown,derrian-ford-1
2024-25,Arkansas State,Sun Belt,JR,G,34.0,14.0,21.0,2.6,7.0,0.378,1.3,4.0,0.321,1.4,3.0,0.455,0.471,1.4,1.7,0.828,1.5,1.8,3.4,0.7,0.3,0.0,0.6,1.2,8.0,Unknown,Sun Belt,JR,G,34.0,14.0,713.0,13.5,0.512,0.576,0.244,261.0,7.5,8.9,8.2,6.1,0.7,0.1,6.7,19.0,1.4,0.9,2.3,0.127,1.2,-1.5,-0.3,Unknown,derrian-ford-1
2023-24,Rutgers,Big Ten,FR,G,32.0,3.0,18.0,2.1,6.6,0.324,1.0,3.4,0.282,1.2,3.1,0.37,0.398,0.6,0.9,0.6,0.7,1.5,2.2,0.6,0.3,0.4,0.9,1.2,5.8,Unknown,Big Ten,FR,G,32.0,3.0,575.0,7.2,0.412,0.524,0.143,171.0,3.8,9.4,6.5,7.5,1.0,2.7,11.8,21.9,-0.4,0.9,0.5,0.032,-1.8,1.0,-0.8,Unknown,gavin-griffiths-2
2024-25,Nebraska,Big Ten,SO,G,16.0,0.0,8.5,0.8,2.4,0.342,0.4,1.8,0.25,0.4,0.6,0.6,0.434,0.0,0.0,Unknown,0.2,1.4,1.6,0.8,0.3,0.4,0.4,0.9,2.1,Unknown,Big Ten,SO,G,16.0,0.0,136.0,10.7,0.434,0.737,0.0,36.0,2.6,18.7,11.0,15.8,2.1,5.5,13.6,16.6,0.0,0.2,0.2,0.07,-1.7,2.9,1.1,Unknown,gavin-griffiths-2
2022-23,Texas State,Sun Belt,FR,G,32.0,19.0,21.3,2.3,5.1,0.442,0.4,1.3,0.333,1.8,3.8,0.479,0.485,1.3,1.7,0.811,0.7,1.7,2.4,1.0,0.8,0.1,0.9,2.2,6.3,Unknown,Sun Belt,FR,G,32.0,19.0,680.0,13.1,0.534,0.258,0.325,197.0,3.8,10.5,7.0,9.7,2.4,0.5,13.4,17.0,1.0,0.7,1.7,0.099,-1.1,0.7,-0.4,Unknown,jordan-mason-3
2023-24,Texas State,Sun Belt,SO,G,29.0,23.0,30.9,4.6,12.0,0.385,0.6,2.1,0.295,4.0,9.9,0.404,0.411,3.0,3.8,0.793,0.7,2.9,3.6,2.8,1.3,0.3,2.4,2.1,12.9,Unknown,Sun Belt,SO,G,29.0,23.0,897.0,13.2,0.467,0.175,0.319,370.0,2.7,10.8,6.7,18.7,2.5,1.1,15.1,26.4,0.3,1.3,1.5,0.068,-2.9,-0.9,-3.8,Unknown,jordan-mason-3
2024-25,IllinoisâChicago,MVC,JR,G,30.0,20.0,30.0,3.6,8.8,0.413,0.5,1.5,0.341,3.1,7.3,0.427,0.441,1.8,2.3,0.809,0.7,2.6,3.4,3.3,1.2,0.3,1.5,1.7,9.6,Unknown,MVC,JR,G,30.0,20.0,901.0,12.8,0.486,0.167,0.258,309.0,2.9,10.2,6.5,20.2,2.2,0.9,13.4,19.2,0.9,1.1,1.9,0.086,-1.2,0.2,-1.0,Unknown,jordan-mason-3
