player,before_Team,new_team
Jordan Burks,Georgetown,UCF Knights
Max Green,Holy Cross,Northwestern Wildcats
Malik Moore,Montana,Xavier Musketeers
Honor Huff,Chattanooga,West Virginia Mountaineers
Isaiah Johnson-Arigu,Iowa,St. Thomas Tommies
TJ Power,Virginia,Pennsylvania Quakers
Tre Carroll,Florida Atlantic,Xavier Musketeers
Elijah Saunders,Virginia,Maryland Terrapins
Isaiah Watts,Washington State,Maryland Terrapins
Barry Dunning,South Alabama,Pittsburgh Panthers
Jaden Brownell,Samford,USC Trojans
Harlan Obioha,University of North Carolina Wilmington,West Virginia Mountaineers
Aday Mara,UCLA,Michigan Wolverines
Dra Gibbs-Lawhorn,Illinois,UNLV Rebels
Rodney Brown,Virginia Tech,Loyola Marymount Lions
Xavier Brown,James Madison,USF Bulls
Justin Bailey,Wofford,Georgia Bulldogs
John Hugley,Xavier,Duquesne Dukes
Brandon Maclin,Radford,DePaul Blue Demons
Evan Nelson,Harvard,Arizona Wildcats
Rob Wright,Baylor,BYU Cougars
Wesley Yates,USC,Washington Huskies
RJ Johnson,Charleston Southern,Rhode Island Rams
Frankie Collins,TCU,Vanderbilt Commodores
George Turkson,Texas A&M,Maryland Terrapins
Kaleb Glenn,Florida Atlantic,Michigan State Spartans
Kyan Evans,Colorado State,North Carolina Tar Heels
Dallin Hall,BYU,Virginia Cavaliers
TK Simpkins,Elon,Oregon Ducks
Tru Washington,New Mexico,Miami Hurricanes
Tyeree Bryan,Santa Clara University,Texas Tech Red Raiders
Drew Fielder,Georgetown,Boise State Broncos
Robert Vaihola,San Jose State,Minnesota Golden Gophers
Kendall Blue,St. Thomas,Nebraska Cornhuskers
RJ Smith,Colorado,DePaul Blue Demons
Andre Mills,Texas A&M,Maryland Terrapins
Martin Carrere,VCU,Virginia Cavaliers
Quincy Ballard,Wichita State,Mississippi State Bulldogs
Will Cooper,Air Force,Nebraska Cornhuskers
Pape N'Diaye,UNLV,Xavier Musketeers
Austin Nunez,Arizona State,UTSA Roadrunners
Jerome Brewer,McNeese State,La Salle Explorers
Brandon Noel,Wright State,Ohio State Buckeyes
Justin Pippen,Michigan,California Golden Bears
David Coit,Kansas,Maryland Terrapins
Brenen Lorient,North Texas,West Virginia Mountaineers
Jamarques Lawrence,Rhode Island,Nebraska Cornhuskers
Micah Smith,Georgia Southern,West Georgia Wolves
Alex Steen,Florida Southern,Florida State Seminoles
Del Jones,Clemson,Radford Highlanders
Bobby Durkin,Davidson,Minnesota Golden Gophers
Nijel Pack,Miami,Oklahoma Sooners
Ja'Borri McGhee,UAB,Mississippi State Bulldogs
Abdi Bashir Jr.,Monmouth College,Kansas State Wildcats
Malachi Palmer,Maryland,Villanova Wildcats
Myles Colvin,Purdue,Wake Forest Demon Deacons
Nojus Indrusaitis,Iowa State,Pittsburgh Panthers
Tyren Moore,UAB,Georgia Southern Eagles
Michael Ajayi,Gonzaga University,Butler Bulldogs
Tae Davis,Notre Dame,Oklahoma Sooners
Sebastian Mack,UCLA,Missouri Tigers
Vyctorius Miller,LSU,Oklahoma State Cowboys
Nick Boyd,San Diego State,Wisconsin Badgers
Matas Vokietaitis,Florida Atlantic,Texas Longhorns
KJ Lewis,Arizona,Georgetown Hoyas
Corey Chest,LSU,Ole Miss Rebels
DeShawn Harris-Smith,Maryland,Georgetown Hoyas
Sencire Harris,West Virginia,Cincinnati Bearcats
Luke Northweather,Oklahoma,Missouri Tigers
Ibrahim Souare,Georgia Tech,Syracuse Orange
Kerr Kriisa,Kentucky,Cincinnati Bearcats
Quante Berry,Temple,Memphis Tigers
Chris Howell,University of California San Diego,New Mexico Lobos
Allen Mukeba,Oakland,Arizona State Sun Devils
Isaiah Abraham,Connecticut,Georgetown Hoyas
Jacari White,North Dakota State,Virginia Cavaliers
Jacob Ognacevic,Lipscomb,Washington Huskies
Jalil Bethea,Miami,Alabama Crimson Tide
Reed Bailey,Davidson,Indiana Hoosiers
Jayden Pierre,Providence,TCU Horned Frogs
Myles Rice,Indiana,Maryland Terrapins
Marquel Sutton,University of Nebraska at Omaha,LSU Tigers
Emmanuel Stephen,Arizona,UNLV Rebels
Ugnius Jarusevicius,Central Michigan,Nebraska Cornhuskers
Amarion Dickerson,Robert Morris,USC Trojans
Amani Hansberry,West Virginia,Virginia Tech Hokies
Sam Lewis,Toledo,Virginia Cavaliers
Jacob Cofie,Virginia,USC Trojans
Solomon Washington,Texas A&M,Maryland Terrapins
Tre White,Illinois,Kansas Jayhawks
Anthony Roy,Wisconsin Green Bay,Oklahoma State Cowboys
Riley Kugel,Mississippi State,UCF Knights
Jovan Milicevic,New Mexico,Xavier Musketeers
Yaxel Lendeborg,UAB,Michigan Wolverines
Dishon Jackson,Iowa State,Pittsburgh Panthers
Jaylin Sellers,UCF,Providence Friars
Tavion Banks,Drake,Iowa Hawkeyes
Austin Rapp,Portland,Wisconsin Badgers
Mason Nicholson,Jacksonville State,Vanderbilt Commodores
Jalen Washington,North Carolina,Vanderbilt Commodores
Xavier Booker,Michigan State,UCLA Bruins
Jayden Dawson,Loyola (Chi),Kansas Jayhawks
Isaiah Coleman,Seton Hall,Oklahoma State Cowboys
Camden Heide,Purdue,Texas Longhorns
Pharrel Payne,Texas A&M,Maryland Terrapins
Anthony Robinson,Virginia,Xavier Musketeers
Quadir Copeland,McNeese State,NC State Wolfpack
Henri Veesaar,Arizona,North Carolina Tar Heels
Mookie Cook,Oregon,University of San Francisco Dons
Keaton Norris,Wright State,Lipscomb Bisons
Nait George,Georgia Tech,Syracuse Orange
