Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster
2024-25,NJIT,AEC,SO,G,27,26,34.7,6.8,18.4,0.369,2.6,7.9,0.324,4.2,10.5,0.403,0.439,3.1,3.7,0.84,0.7,3.6,4.3,3.6,1.0,0.0,3.1,2.8,19.2,Unknown,AEC,SO,G,27,26,936,15.3,0.477,0.429,0.202,501,2.1,11.7,6.8,26.7,1.8,0.1,13.2,34.4,0.5,0.8,1.3,0.055,0.2,-2.8,-2.6,Unknown,tariq-francis-1,4
2024-25,UAB,AAC,SR,F,37.0,2.0,16.4,2.4,4.5,0.521,0.0,0.1,0.0,2.4,4.5,0.527,0.521,2.5,3.2,0.765,1.9,2.6,4.5,0.3,0.2,0.7,0.7,2.0,7.2,Unknown,AAC,SR,F,37.0,2.0,605.0,20.4,0.593,0.012,0.713,259.0,12.2,17.2,14.6,3.3,0.8,4.2,10.8,19.5,1.8,0.7,2.4,0.161,0.6,-1.2,-0.5,Unknown,bradley-ezewiro-1,3
2024-25,Southern California,Big Ten,JR,G,33.0,32.0,32.4,5.4,11.1,0.482,0.7,2.3,0.307,4.7,8.8,0.527,0.514,4.4,5.8,0.764,0.5,3.1,3.5,4.2,0.6,0.2,3.5,2.2,15.8,Unknown,Big Ten,JR,G,33.0,32.0,1070.0,16.0,0.571,0.204,0.52,533.0,2.0,11.5,6.9,25.5,1.1,0.6,20.1,27.5,1.6,0.8,2.4,0.091,1.8,-0.2,1.6,Unknown,desmond-claude-1,2
2024-25,Massachusetts,A-10,JR,F,31.0,3.0,12.5,1.4,2.1,0.636,0.0,0.0,0,1.4,2.1,0.636,0.636,0.8,1.2,0.684,1.0,1.2,2.2,0.0,0.2,1.5,0.5,1.2,3.5,Unknown,A-10,JR,F,31.0,3.0,388.0,17.4,0.654,0.0,0.576,102.0,8.2,10.3,9.2,0.5,0.9,13.6,15.1,12.0,0.6,0.6,1.2,0.123,-1.7,1.9,0.2,Unknown,shahid-muhammad-1,0
2024-25,Eastern Kentucky,A-Sun,SO,G,25,25,29.7,5.7,15.0,0.38,2.6,7.4,0.348,3.1,7.6,0.411,0.465,4.1,4.8,0.851,1.1,2.6,3.7,3.2,2.6,0.4,2.6,1.8,18.0,Unknown,A-Sun,SO,G,25,25,743,23.2,0.523,0.492,0.324,435,3.9,10.0,6.8,22.3,5.1,1.3,13.1,32.6,1.7,1.1,2.7,0.148,3.3,0.4,3.6,Unknown,george-kimble-iii-1,2
2024-25,Maryland,Big Ten,JR,F,32.0,0.0,10.3,1.2,2.6,0.47,0.4,1.1,0.371,0.8,1.5,0.542,0.548,0.6,0.9,0.621,0.4,1.5,1.9,0.2,0.4,0.8,0.5,1.3,3.4,Unknown,Big Ten,JR,F,32.0,0.0,331.0,14.5,0.563,0.422,0.349,98.0,4.2,16.6,10.6,3.0,2.1,8.0,14.9,17.0,0.3,0.8,1.1,0.137,-1.0,5.2,4.2,Unknown,tafara-gapare-1,0
2024-25,Dartmouth,Ivy,SR,G,27,23,29.2,5.6,13.4,0.413,2.0,5.4,0.372,3.6,8.1,0.44,0.488,4.0,5.4,0.745,0.5,4.4,4.9,3.3,1.4,0.2,2.9,2.7,17.1,Unknown,Ivy,SR,G,27,23,788,18.1,0.535,0.399,0.399,442,1.8,15.9,9.1,23.5,2.6,0.8,15.1,31.9,0.9,1.6,2.5,0.128,-0.3,1.2,0.8,Unknown,ryan-cornish-1,2
2024-25,High Point,Big South,SR,G,34.0,34.0,28.1,4.4,10.0,0.44,1.2,3.8,0.313,3.2,6.2,0.517,0.499,4.7,5.5,0.851,0.4,2.1,2.5,2.5,0.4,0.0,1.7,2.0,14.6,Unknown,Big South,SR,G,34.0,34.0,957.0,18.8,0.581,0.378,0.555,481.0,2.0,8.4,5.4,15.8,0.8,0.1,11.7,25.9,3.1,1.0,4.1,0.173,2.3,-1.9,0.4,Unknown,kezza-giffa-1,2
2024-25,NC State,ACC,FR,G,27,1,11.9,1.8,4.3,0.41,0.7,2.1,0.357,1.0,2.3,0.459,0.496,0.3,0.4,0.75,0.6,0.8,1.4,1.1,0.5,0.1,1.0,1.4,4.6,Unknown,ACC,FR,G,27,1,322,13.5,0.509,0.479,0.103,125,5.6,8.5,7.0,20.1,2.6,1.3,17.5,24.3,0.2,0.3,0.5,0.062,0.6,0.7,1.4,Unknown,trey-parker-2,4
2024-25,Stephen F. Austin,Southland,SO,G,3.0,0.0,17.0,4.3,9.3,0.464,0.7,4.0,0.167,3.7,5.3,0.688,0.5,1.3,1.7,0.8,0.3,3.7,4.0,1.7,1.0,0.7,1.7,2.0,10.7,Unknown,Southland,SO,G,3.0,0.0,51.0,23.1,0.527,0.429,0.179,28.0,2.2,24.0,13.0,28.2,3.4,4.4,14.1,34.2,0.1,0.1,0.2,0.161,-3.7,0.6,-3.1,Unknown,chris-johnson-12,2
2024-25,Louisiana Tech,CUSA,JR,G,32.0,32.0,32.1,4.5,10.8,0.422,2.1,5.5,0.373,2.5,5.2,0.473,0.517,1.2,1.4,0.848,0.5,3.9,4.4,1.7,1.5,0.1,1.9,2.1,12.3,Unknown,CUSA,JR,G,32.0,32.0,1026.0,13.5,0.54,0.515,0.134,351.0,1.9,13.4,8.1,10.4,2.7,0.4,14.1,21.8,0.9,1.8,2.6,0.102,-0.5,0.8,0.3,Unknown,amaree-abram-1,4
2024-25,Vanderbilt,SEC,SO,F,33.0,1.0,20.2,3.2,6.5,0.488,0.3,1.2,0.231,2.9,5.3,0.545,0.509,1.4,2.5,0.568,2.3,3.5,5.7,0.8,0.6,0.6,1.4,2.5,8.0,Unknown,SEC,SO,F,33.0,1.0,667.0,16.8,0.523,0.181,0.377,274.0,12.4,20.8,16.4,7.3,1.6,3.6,15.6,22.2,0.8,0.9,1.7,0.101,0.8,0.5,1.3,Unknown,jaylen-carey-1,0
2024-25,Maryland,Big Ten,JR,G,36.0,36.0,31.6,5.0,11.0,0.453,2.4,5.9,0.407,2.6,5.1,0.508,0.563,2.3,2.6,0.862,0.5,2.2,2.8,4.8,1.9,0.1,1.9,1.9,14.7,Unknown,Big Ten,JR,G,36.0,36.0,1136.0,21.1,0.598,0.539,0.237,547.0,2.0,7.9,5.0,27.4,3.5,0.4,13.3,22.2,3.5,2.4,5.8,0.206,6.3,4.4,10.7,Unknown,jakobi-gillespie-1,2
2024-25,Miami (OH),MAC,SO,C,30,0,17.0,2.5,5.4,0.466,0.7,2.0,0.367,1.8,3.4,0.525,0.534,0.8,1.3,0.6,1.3,2.4,3.7,1.2,0.4,0.7,1.0,2.4,6.5,Unknown,MAC,SO,C,30,0,511,15.6,0.544,0.373,0.248,204,9.3,16.1,12.8,11.9,1.3,4.8,14.7,20.7,0.8,0.8,1.6,0.125,-1.3,-0.1,-1.4,Unknown,reece-potter-1,0
