Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,previous_school
2023-24,Mississippi State,SEC,JR,F,11.0,0.0,6.0,0.5,1.4,0.4,0.0,0.1,0.0,0.5,1.3,0.429,0.4,0.1,0.5,0.2,0.5,1.0,1.5,0.4,0.4,0.1,0.6,0.8,1.2,Unknown,SEC,JR,F,11.0,0.0,66.0,6.2,0.374,0.067,0.333,16.0,8.7,18.8,13.8,10.8,3.5,1.8,28.7,18.3,-0.1,0.1,0.0,0.007,-6.4,2.6,-3.8,Unknown,jaquan-scott-1,
2024-25,UTSA,AAC,JR,F,6.0,3.0,18.5,2.5,6.0,0.417,0.7,1.5,0.444,1.8,4.5,0.407,0.472,1.7,2.2,0.769,2.3,2.3,4.7,0.3,1.2,0.7,2.0,3.2,7.3,Unknown,AAC,JR,F,6.0,3.0,111.0,14.8,0.522,0.25,0.361,46.0,13.7,15.3,14.5,3.5,3.6,4.2,22.2,24.1,0.0,0.2,0.2,0.067,-3.4,-0.6,-4.0,Unknown,jaquan-scott-1,Mississippi State
2022-23,Miami (OH),MAC,FR,F,32.0,1.0,11.0,0.8,1.3,0.6,0.0,0.0,Unknown,0.8,1.3,0.6,0.6,0.1,0.4,0.286,0.9,1.4,2.4,0.8,0.3,0.9,1.0,2.6,1.6,Unknown,MAC,FR,F,32.0,1.0,351.0,9.3,0.557,0.0,0.35,74.0,10.6,15.8,13.2,12.3,1.8,8.9,41.4,11.6,0.0,0.5,0.4,0.047,-6.8,1.8,-5.0,Unknown,jaquel-morris-1,
2023-24,Miami (OH),MAC,SO,F,31.0,13.0,14.7,2.4,3.7,0.64,0.0,0.0,0.0,2.4,3.6,0.646,0.64,0.5,0.9,0.586,1.4,2.5,3.9,0.7,0.4,1.1,1.3,2.1,5.3,Unknown,MAC,SO,F,31.0,13.0,457.0,18.9,0.638,0.009,0.254,163.0,11.4,18.7,15.1,10.4,1.7,8.1,23.4,19.1,0.6,0.9,1.5,0.133,-2.6,1.1,-1.5,Unknown,jaquel-morris-1,Miami (OH)
2024-25,Saint Peter's,MAAC,JR,F,18.0,7.0,13.9,1.3,2.1,0.632,0.0,0.0,Unknown,1.3,2.1,0.632,0.632,0.6,0.8,0.733,1.9,2.6,4.4,0.2,0.6,1.1,1.2,1.9,3.3,Unknown,MAAC,JR,F,18.0,7.0,250.0,17.8,0.654,0.0,0.395,63.0,15.4,21.6,18.4,3.5,2.5,9.6,31.8,13.5,0.2,0.6,0.8,0.126,-3.7,2.8,-0.9,Unknown,jaquel-morris-1,Miami (OH)
2021-22,Siena,MAAC,FR,G,27.0,17.0,27.8,1.8,3.9,0.457,0.3,1.1,0.241,1.5,2.8,0.539,0.49,1.9,2.6,0.754,1.4,3.6,5.0,0.9,1.0,0.8,1.7,2.9,5.7,Unknown,MAAC,FR,G,27.0,17.0,750.0,11.3,0.563,0.276,0.657,169.0,6.1,15.2,10.7,6.4,2.1,2.8,24.6,13.0,0.5,1.0,1.5,0.082,-3.1,0.9,-2.2,Unknown,jared-billups-1,
2022-23,Siena,MAAC,SO,G,31.0,30.0,32.5,2.3,6.9,0.336,0.4,1.6,0.265,1.9,5.3,0.358,0.367,3.0,4.2,0.718,2.0,4.6,6.6,1.8,1.1,1.0,1.8,2.8,8.1,Unknown,MAAC,SO,G,31.0,30.0,1006.0,12.1,0.454,0.229,0.612,281.0,7.5,17.3,12.4,10.5,2.1,3.0,16.9,17.2,0.5,1.7,2.2,0.089,-2.5,0.9,-1.6,Unknown,jared-billups-1,Siena
2023-24,George Mason,A-10,JR,G,32.0,32.0,25.4,1.4,3.4,0.413,0.3,1.1,0.229,1.2,2.3,0.5,0.45,1.3,2.1,0.621,1.4,2.8,4.3,1.2,0.9,0.2,0.8,2.4,4.3,Unknown,A-10,JR,G,32.0,32.0,813.0,10.2,0.495,0.321,0.606,166.0,7.1,12.4,9.9,8.1,2.2,1.1,15.1,10.8,0.8,1.2,2.0,0.099,-1.0,2.5,1.6,Unknown,jared-billups-1,Siena
2024-25,George Mason,A-10,SR,G,34.0,6.0,27.4,1.6,3.9,0.398,0.4,1.3,0.273,1.2,2.6,0.461,0.444,1.8,2.2,0.8,1.8,4.1,5.8,1.5,1.6,0.5,1.0,2.7,5.2,Unknown,A-10,SR,G,34.0,6.0,932.0,13.7,0.528,0.331,0.564,214.0,8.3,16.3,12.6,10.2,3.5,2.3,17.2,11.6,1.1,2.4,3.5,0.15,-0.4,4.9,4.5,Unknown,jared-billups-1,George Mason
2019-20,Northwestern,Big Ten,FR,F,31.0,0.0,10.3,1.3,2.8,0.448,0.0,0.4,0.083,1.2,2.4,0.507,0.454,0.4,0.6,0.55,0.7,1.4,2.1,0.2,0.2,0.4,0.5,2.3,2.9,Unknown,Big Ten,FR,F,31.0,0.0,318.0,9.5,0.466,0.138,0.23,88.0,7.9,14.5,11.3,3.3,1.3,4.8,15.0,19.2,0.0,0.3,0.4,0.044,-4.7,1.4,-3.4,Unknown,jared-coleman-jones-1,
2020-21,Middle Tennessee,CUSA,SO,F,15.0,4.0,11.3,1.1,2.7,0.39,0.1,0.1,1.0,1.0,2.7,0.375,0.402,0.6,1.0,0.6,1.3,1.2,2.5,0.3,0.2,0.2,1.3,2.0,2.8,Unknown,CUSA,SO,F,15.0,4.0,169.0,5.5,0.436,0.024,0.366,47.0,12.6,13.4,13.0,5.1,1.0,1.9,29.4,20.3,-0.2,0.2,-0.1,-0.014,-7.8,-0.8,-8.7,Unknown,jared-coleman-jones-1,Northwestern
