Season,Team,Conf_x,Class_x,Pos_x,G_x,GS_x,MP_x,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards_x,Conf_y,Class_y,Pos_y,G_y,GS_y,MP_y,PER,TS%,3PAr,FTr,PProd,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/40,OBPM,DBPM,BPM,Awards_y,player_id,cluster,standard_player,player,new_team_x,new_university_name,new_team_name,before_Team,old_rank,old_netrtg,old_adjt,old_luck,old_sos,old_sos_ooc,new_rank,new_netrtg,new_adjt,new_luck,new_sos,new_sos_ooc,rank_change,netrtg_change,adjt_change,luck_change,sos_change,sos_ooc_change,Pos_C,Pos_F,Pos_G,Class_FR,Class_JR,Class_SO,Class_SR
2024-25,Florida,SEC,JR,G,39.0,5.0,19.8,2.7,6.6,0.418,0.9,2.6,0.35,1.8,3.9,0.464,0.488,1.3,1.8,0.708,0.3,1.4,1.7,1.4,0.5,0.0,1.0,1.5,7.7,Unknown,SEC,JR,G,39.0,5.0,773.0,11.6,0.519,0.402,0.281,282.0,1.7,7.3,4.7,11.9,1.3,0.0,11.8,20.2,1.2,1.0,2.2,0.113,0.9,2.1,3.0,Unknown,denzel-aberdeen-1,4,denzel aberdeen,Denzel Aberdeen,Kentucky Wildcats,Kentucky,Wildcats,Florida,3.0,36.46,70.1,0.032,16.15,-2.2,16.0,24.54,70.9,0.01,18.23,3.64,13.0,-11.920000000000002,0.8000000000000114,-0.022,2.080000000000002,5.84,0,0,1,0,1,0,0
2024-25,South Carolina,SEC,SR,F,32.0,32.0,24.6,3.2,5.6,0.572,0.0,0.1,0.0,3.2,5.5,0.582,0.572,3.0,4.6,0.655,1.9,4.4,6.3,1.1,0.5,0.4,1.4,2.7,9.5,Unknown,SEC,SR,F,32.0,32.0,786.0,18.1,0.605,0.017,0.822,299.0,9.3,21.6,15.5,10.3,1.2,1.9,15.5,19.5,1.7,1.0,2.7,0.137,1.8,2.3,4.1,Unknown,nick-pringle-1,3,nick pringle,Nick Pringle,Arkansas Razorbacks,Arkansas,Razorbacks,South Carolina,69.0,11.51,65.5,-0.088,14.55,-2.11,36.0,19.33,69.4,-0.007,15.21,-2.61,-33.0,7.8199999999999985,3.9000000000000057,0.08099999999999999,0.6600000000000001,-0.5,0,1,0,0,0,0,1
2024-25,North Carolina,ACC,JR,F,31.0,0.0,7.9,0.9,2.3,0.403,0.5,1.5,0.292,0.5,0.8,0.625,0.5,0.3,0.5,0.563,0.3,0.8,1.1,0.1,0.2,0.0,0.1,1.0,2.6,Unknown,ACC,JR,F,31.0,0.0,246.0,10.2,0.509,0.667,0.222,72.0,4.4,11.1,7.9,2.1,1.4,0.4,4.8,16.9,0.3,0.3,0.5,0.086,-0.7,0.9,0.3,Unknown,cade-tyson-1,4,cade tyson,Cade Tyson,Minnesota Golden Gophers,Minnesota,Golden Gophers,North Carolina,31.0,20.33,70.7,-0.03,12.57,13.4,83.0,9.15,62.9,0.025,12.35,-5.97,52.0,-11.179999999999998,-7.800000000000004,0.055,-0.22000000000000064,-19.37,0,1,0,0,1,0,0
2024-25,Creighton,Big East,JR,G,8.0,8.0,31.6,5.1,12.5,0.41,2.9,7.5,0.383,2.3,5.0,0.45,0.525,3.1,3.6,0.862,0.4,4.4,4.8,3.9,0.5,0.1,2.9,0.8,16.3,Unknown,Big East,JR,G,8.0,8.0,253.0,17.5,0.571,0.6,0.29,126.0,1.5,14.0,8.4,24.0,0.9,0.4,16.8,28.4,0.4,0.3,0.8,0.123,5.0,2.3,7.3,Unknown,pop-isaacs-1,2,pop isaacs,Pop Isaacs,Texas A&M Aggies,Texas A&M,Aggies,Creighton,35.0,19.44,67.3,0.044,12.52,5.73,18.0,23.66,66.8,0.001,16.52,7.67,-17.0,4.219999999999999,-0.5,-0.043,4.0,1.9399999999999995,0,0,1,0,1,0,0
2024-25,Kansas,Big 12,FR,G,23.0,0.0,5.0,0.3,0.9,0.286,0.1,0.4,0.222,0.2,0.5,0.333,0.333,0.1,0.3,0.429,0.2,0.4,0.6,0.3,0.2,0.0,0.6,0.6,0.7,Unknown,Big 12,FR,G,23.0,0.0,116.0,-0.2,0.349,0.429,0.333,21.0,4.0,9.0,6.7,9.1,2.5,1.0,36.5,16.6,-0.3,0.2,-0.1,-0.043,-8.0,2.6,-5.4,Unknown,rakease-passmore-1,1,rakease passmore,Rakease Passmore,Maryland Terrapins,Maryland,Terrapins,Kansas,24.0,22.94,68.6,-0.034,15.79,8.86,10.0,27.07,69.6,-0.028,12.51,-10.46,-14.0,4.129999999999999,1.0,0.006000000000000002,-3.2799999999999994,-19.32,0,0,1,1,0,0,0
2024-25,Southern California,Big Ten,SR,F,34.0,10.0,20.1,3.4,6.1,0.55,0.8,2.0,0.391,2.6,4.1,0.629,0.615,1.9,2.5,0.741,1.6,2.9,4.5,1.0,0.7,0.8,1.1,2.3,9.4,Unknown,Big Ten,SR,F,34.0,10.0,685.0,22.1,0.642,0.33,0.407,306.0,10.1,17.6,14.0,10.0,2.0,4.3,12.9,21.5,2.0,0.9,2.9,0.172,4.9,2.6,7.5,Unknown,rashaun-agee-1,3,rashaun agee,Rashaun Agee,Texas A&M Aggies,Texas A&M,Aggies,USC,57.0,14.39,68.6,-0.057,12.67,-1.97,18.0,23.66,66.8,0.001,16.52,7.67,-39.0,9.27,-1.7999999999999972,0.058,3.8499999999999996,9.64,0,1,0,0,0,0,1
2024-25,Texas Tech,Big 12,SR,G,6.0,2.0,17.7,2.2,3.7,0.591,0.7,1.2,0.571,1.5,2.5,0.6,0.682,0.5,0.7,0.75,1.2,2.3,3.5,0.3,0.3,0.0,1.0,1.5,5.5,Unknown,Big 12,SR,G,6.0,2.0,106.0,13.6,0.69,0.318,0.182,29.0,7.8,15.3,11.5,3.2,1.1,0.0,20.1,14.4,0.2,0.2,0.3,0.123,0.6,-0.1,0.6,Unknown,devan-cambridge-1,2,devan cambridge,Devan Cambridge,UCF Knights,UCF,Knights,Texas Tech,9.0,27.92,66.1,-0.037,12.19,-4.68,67.0,11.95,72.2,0.047,12.27,-1.17,58.0,-15.970000000000002,6.1000000000000085,0.08399999999999999,0.08000000000000007,3.51,0,0,1,0,0,0,1
2024-25,Arkansas,SEC,FR,G,21.0,18.0,31.8,4.6,12.0,0.379,1.7,5.0,0.34,2.9,7.0,0.408,0.451,2.6,3.1,0.833,0.5,2.8,3.2,5.1,1.5,0.0,1.4,1.8,13.5,Unknown,SEC,FR,G,21.0,18.0,667.0,17.6,0.498,0.419,0.261,306.0,1.8,9.4,5.8,30.5,2.7,0.2,9.3,23.6,1.3,1.0,2.3,0.138,3.2,2.7,5.9,Unknown,boogie-fland-1,2,boogie fland,Boogie Fland,Florida Gators,Florida,Gators,Arkansas,36.0,19.33,69.4,-0.007,15.21,-2.61,3.0,36.46,70.1,0.032,16.15,-2.2,-33.0,17.130000000000003,0.6999999999999886,0.039,0.9399999999999977,0.4099999999999997,0,0,1,1,0,0,0
2024-25,Louisiana State,SEC,FR,G,32.0,12.0,18.2,1.5,5.7,0.269,0.9,3.7,0.246,0.6,2.0,0.313,0.349,0.8,1.4,0.591,0.3,1.4,1.7,1.6,0.5,0.0,1.1,1.3,4.8,Unknown,SEC,FR,G,32.0,12.0,582.0,4.7,0.377,0.648,0.242,165.0,1.8,8.3,5.2,15.6,1.6,0.0,15.1,20.5,-0.6,0.5,-0.1,-0.006,-3.7,0.1,-3.7,Unknown,curtis-givens-iii-1,1,curtis givens,Curtis Givens,Memphis Tigers,Memphis,Tigers,LSU,88.0,8.72,68.2,-0.062,14.03,-7.01,54.0,15.1,71.0,0.085,6.51,15.73,-34.0,6.379999999999999,2.799999999999997,0.14700000000000002,-7.52,22.740000000000002,0,0,1,1,0,0,0
2024-25,Boston College,ACC,JR,G,31.0,15.0,18.8,1.5,4.0,0.379,0.7,2.1,0.323,0.8,1.9,0.441,0.464,0.6,1.0,0.645,0.1,1.1,1.2,2.0,0.4,0.3,1.4,1.4,4.4,Unknown,ACC,JR,G,31.0,15.0,582.0,7.5,0.487,0.524,0.25,149.0,0.8,7.0,3.8,20.3,1.3,1.5,23.2,16.2,-0.1,0.3,0.2,0.014,-2.3,-0.6,-2.9,Unknown,chas-kelley-iii-1,4,chas kelley,Chas Kelley,Georgia Tech Yellow Jackets,Georgia Tech,Yellow Jackets,Boston College,181.0,-2.0,66.9,0.018,5.19,-6.7,103.0,5.87,68.9,-0.001,6.07,-8.11,-78.0,7.87,2.0,-0.019,0.8799999999999999,-1.4099999999999993,0,0,1,0,1,0,0
